Depth,AC,DEN,Ip,Pp
3337.5,97.101,2.551,8007.587975,54.10846982
3337.625,94.812,2.549,8194.481711,52.5128363
3337.75,92.923,2.55,8364.344672,51.09121033
3337.875,92.811,2.551,8377.722468,51.00722261
3338,93.755,2.556,8309.62402,51.73879198
3338.125,96.401,2.56,8094.189894,53.65175938
3338.25,98.545,2.561,7921.181186,55.0731423
3338.375,98.988,2.561,7885.731604,55.35640095
3338.5,99.017,2.557,7871.109001,55.37817227
3338.625,99.464,2.552,7820.413416,55.65924593
3338.75,100.908,2.55,7702.461648,56.52998306
3338.875,102.7,2.548,7562.126582,57.55103641
3339,105.295,2.546,7369.968185,58.92230878
3339.125,110.435,2.545,7024.186173,61.3124214
3339.25,114.765,2.545,6759.168736,63.04476142
3339.375,115.34,2.545,6725.472516,63.26088816
3339.5,113.453,2.544,6834.646946,62.55208087
3339.625,107.052,2.542,7237.619101,59.80095089
3339.75,100.115,2.539,7729.98252,56.08801819
3339.875,96.878,2.538,7985.119429,54.02785278
3340.625,102.833,2.546,7546.417979,57.67396929
3340.75,109.898,2.545,7058.508799,61.1263849
3340.875,114.502,2.545,6774.693892,62.99082015
3341,117.639,2.545,6594.037692,64.11958551
3341.125,116.451,2.548,6669.160419,63.70928815
3341.25,108.951,2.552,7139.444337,60.7229105
3341.375,101.422,2.556,7681.457672,56.90351167
3341.5,94.14,2.561,8291.829191,52.13197833
3341.625,86.776,2.566,9013.054301,45.7901049
3343.25,86.837,2.545,8933.012426,45.90072374
3343.375,87.874,2.54,8810.251041,46.90962127
3343.5,88.275,2.534,8749.512319,47.29106518
3343.625,88.089,2.531,8757.606512,47.12049135
3343.75,87.48,2.532,8822.057613,46.54420306
3343.875,86.779,2.536,8907.371599,45.8625669
3344.5,88.57,2.579,8875.230891,47.59559084
3344.625,93.464,2.573,8390.935547,51.71403817
3344.75,96.497,2.56,8086.137393,53.91158306
3344.875,96.513,2.542,8027.950639,53.92618166
3345,95.116,2.512,8049.724547,52.95038251
3345.125,91.666,2.488,8272.886348,50.30636946
3345.25,88.433,2.48,8547.759321,47.49170096
3345.375,86.863,2.482,8709.273223,45.99203316
3345.5,86.589,2.497,8789.633787,45.72366812
3346.125,89.505,2.55,8683.760684,48.49241145
3346.25,93.799,2.546,8273.231058,52.01684534
3346.375,96.394,2.54,8031.537233,53.88862438
3346.5,98.157,2.531,7859.335554,55.0643265
3346.625,98.976,2.523,7769.665373,55.58777441
3346.75,98.909,2.519,7762.601988,55.54943594
3346.875,99.236,2.515,7724.736991,55.7568979
3347,100.387,2.513,7630.09553,56.45962536
3347.125,103.237,2.514,7422.408633,58.07879521
3347.25,105.935,2.516,7239.125879,59.47428421
3347.375,106.92,2.519,7180.987654,59.95567219
3347.5,107.076,2.524,7184.758489,60.03345703
3347.625,106.225,2.528,7253.795246,59.62715132
3347.75,105.15,2.532,7339.549215,59.09628519
3347.875,104.74,2.537,7382.829864,58.89093175
3348,104.637,2.543,7407.574758,58.84154441
3348.125,104.623,2.548,7423.132581,58.8378767
3348.25,104.08,2.551,7470.645657,58.55924186
3348.375,102.937,2.554,7562.481906,57.95169154
3348.5,101.068,2.561,7723.441643,56.90328757
